,收益率
2020-11-17,0.002018874256170791
2020-11-18,0.0012606262389630509
2020-11-19,0.00029774114842765864
2020-11-20,0.0017666331678884933
2020-11-21,-0.00011736850438304594
2020-11-22,0.0010082944354018431
2020-11-23,0.0002273969769993752
2020-11-24,0.00017737556772655271
2020-11-25,-0.001297571419116813
2020-11-26,0.0009471543537204934
2020-11-27,-0.00029315296904386455
2020-11-28,-0.0009017116142016663
2020-11-29,0.0002484172441977311
2020-11-30,0.0011574057615701024
2020-12-01,0.001444649164666266
2020-12-02,0.003598177999857776
2020-12-03,0.003128183768919135
2020-12-04,0.0010209244985431077
2020-12-05,0.0011977076221307116
2020-12-06,0.00029540844318799215
2020-12-07,0.00022281521877620019
2020-12-08,0.0015727546979745915
2020-12-09,0.0034403955382968253
2020-12-10,0.0026883276396027942
2020-12-11,0.00242665649195436
2020-12-12,0.0025921258182841503
2020-12-13,0.0005054892042571509
2020-12-14,0.001430246469709702
2020-12-15,0.0014197568299501298
2020-12-16,0.002128988859569374
2020-12-17,0.0019855486449991055
2020-12-18,0.002784725378285323
2020-12-19,0.0030306095660356325
2020-12-20,0.002203473971177737
2020-12-21,0.00046750758045077727
2020-12-22,4.842542582360062e-05
2020-12-23,0.0015507199180339764
2020-12-24,0.0020397426458576957
2020-12-25,0.0032765455247336676
2020-12-26,0.0030562934705817926
2020-12-27,0.0023909207554025074
2020-12-28,0.0020402218875225525
2020-12-29,0.00016946154407678827
2020-12-30,0.0007957270410428104
2020-12-31,-0.0006148139158218027
2021-01-01,-0.0019131291649291888
2021-01-02,-0.003241186440134531
2021-01-03,-0.005934072353217382
2021-01-04,-0.00557358181320841
2021-01-05,-0.005548840390539947
2021-01-06,-0.005659265925683024
2021-01-07,-0.004750097227469401
2021-01-08,-0.004417702335345321
2021-01-09,-0.002877379050084735
2021-01-10,-0.0018753053613750808
2021-01-11,-0.0024249068368439376
2021-01-12,-0.002545532310173086
2021-01-13,-0.0015284340539102308
2021-01-14,-0.001581568259198677
2021-01-15,0.0014235300329478776
2021-01-16,-0.0017038528217841744
2021-01-17,-0.0002793698322960371
2021-01-18,-0.005048547503852253
2021-01-19,-0.0049262365277353195
2021-01-20,-0.005395007478993978
2021-01-21,-0.004969617169528618
2021-01-22,-0.003708682203343531
2021-01-23,-0.0066954389583293765
2021-01-24,-0.0044216713950697385
2021-01-25,-0.0020317711211228036
2021-01-26,0.0020840031292359436
2021-01-27,0.000306881908305473
2021-01-28,0.003573339362248663
2021-01-29,0.0060056898282943106
2021-01-30,0.0067885916839007234
2021-01-31,0.008668236741174734
2021-02-01,0.001683594674839626
2021-02-02,0.012653852344711962
2021-02-03,-0.005873339372543735
2021-02-04,0.006905441108527042
2021-02-05,-0.011239067394868895
2021-02-06,0.006101204772619506
2021-02-07,-0.013147400175874829
2021-02-08,0.004798920930533816
2021-02-09,-0.010771758866531256
2021-02-10,0.006957137911978299
2021-02-11,-0.0092390539429437
2021-02-12,0.0035823033849663806
2021-02-13,-0.009664611571326524
2021-02-14,0.005957697110674746
2021-02-15,-0.01008279295351787
2021-02-16,0.005967889498593269
2021-02-17,-0.010446194270745671
2021-02-18,0.007227783587762758
2021-02-19,-0.00825978050459741
2021-02-20,0.007839089491124869
2021-02-21,-0.007928365277439411
2021-02-22,0.011547206429370498
2021-02-23,-0.0047326732937511915
2021-02-24,0.014140291139887148
2021-02-25,-0.0020215555055253247
2021-02-26,0.016772125980523047
2021-02-27,-0.004650042768707998
2021-02-28,0.015175771102477264
2021-03-01,-0.004257556856079621
2021-03-02,0.01890927139586923
2021-03-03,-0.0036335276237069625
2021-03-04,0.015371266502521706
2021-03-05,-0.00934113737227292
2021-03-06,0.010202822796429005
2021-03-07,-0.010087077253732799
2021-03-08,0.00946746087132041
2021-03-09,-0.007883655279849074
2021-03-10,0.014392892859261914
2021-03-11,-0.006749365661683977
2021-03-12,0.011732132251292358
2021-03-13,-0.013519247629455116
2021-03-14,0.005986336421283459
2021-03-15,-0.011636394082463686
2021-03-16,0.009809092300402831
2021-03-17,-0.005364443072911736
2021-03-18,0.01035992747679693
2021-03-19,-0.008917758583225776
2021-03-20,0.008287541951749298
2021-03-21,-0.008368120054590273
2021-03-22,0.00674009279320133
2021-03-23,-0.007118348493611072
2021-03-24,0.0129351631572365
2021-03-25,-0.002328062856798994
2021-03-26,0.015062202729934603
2021-03-27,-0.0039237289732302226
2021-03-28,0.013966048915980007
2021-03-29,-0.004968797319217023
2021-03-30,0.010610827012846174
2021-03-31,-0.0038227865451636086
2021-04-01,-0.001796137721139983
2021-04-02,-0.0009382567661727612
2021-04-03,-0.003878934344898575
2021-04-04,-0.005250102562147835
2021-04-05,-0.004875309065578631
2021-04-06,-0.0076816101206531335
2021-04-07,-0.0009979048612644454
2021-04-08,-0.001306062457480005
2021-04-09,-0.002416915267419018
2021-04-10,-0.0028023703055553148
2021-04-11,-0.00018769967302851426
2021-04-12,-0.001041434477417317
2021-04-13,0.0005636418419062666
2021-04-14,-0.0007132552742245481
2021-04-15,-9.33297296592929e-05
2021-04-16,0.0016722966728765281
2021-04-17,-0.0024783836436983336
2021-04-18,-0.0014766328575868404
2021-04-19,-0.00219663306457261
2021-04-20,-0.0020291792381426717
2021-04-21,-0.0013501614523041203
2021-04-22,0.00017123320919819234
2021-04-23,0.0018826132561509837
2021-04-24,5.793516517048653e-05
2021-04-25,0.0010536093898905708
2021-04-26,-0.0001353125144227029
2021-04-27,-0.001655090148455098
2021-04-28,-0.002524135799642859
2021-04-29,-0.0016606894994718163
