,收益率
2020-11-17,9.515371749048089e-05
2020-11-18,0.0003074389432731144
2020-11-19,-0.00040651888806056196
2020-11-20,0.0001765417106299597
2020-11-21,4.890316028896605e-05
2020-11-22,2.9560325444087293e-05
2020-11-23,2.9548551033182407e-05
2020-11-24,0.00023891685010363838
2020-11-25,0.00021198956796336391
2020-11-26,0.00036416858184810615
2020-11-27,0.0002080190963568128
2020-11-28,-0.0004071706836658421
2020-11-29,-0.00046936550699323826
2020-11-30,-0.0004772425987987258
2020-12-01,0.00047706581785161324
2020-12-02,-2.8815185818831606e-05
2020-12-03,0.0004448126925109776
2020-12-04,0.0002925755186345672
2020-12-05,-0.00022721962653939843
2020-12-06,-0.0002775916138908788
2020-12-07,-0.00027969615787509105
2020-12-08,-0.0005015295335735489
2020-12-09,0.00041171124044206734
2020-12-10,-0.00016878131773819
2020-12-11,0.00020076982056236987
2020-12-12,-6.835738079343264e-05
2020-12-13,-9.991564523330207e-05
2020-12-14,-0.0001001049828552382
2020-12-15,-0.00044073546471776084
2020-12-16,0.0005474950455675726
2020-12-17,0.0005579770036411815
2020-12-18,-0.0003597901659336164
2020-12-19,-0.00018583916861939723
2020-12-20,-0.00016061449105757305
2020-12-21,-0.00016119471580104504
2020-12-22,-0.00044921280715486345
2020-12-23,0.00046870046976065264
2020-12-24,0.00014919261651255664
2020-12-25,-3.1129942383795693e-05
2020-12-26,-4.4940376693089224e-05
2020-12-27,-4.497529591264673e-05
2020-12-28,-4.501022111440373e-05
2020-12-29,0.0005675585276042554
2020-12-30,0.0013320994118428658
2020-12-31,0.00031221251839398613
2021-01-01,0.0001522712840154535
2021-01-02,0.00014695248027524313
2021-01-03,0.00014678090031960235
2021-01-04,0.00014661053656748677
2021-01-05,0.0004025274230317207
2021-01-06,0.00013211202800650566
2021-01-07,-0.000306053502013333
2021-01-08,0.0006842377945688339
2021-01-09,9.288525397924537e-05
2021-01-10,2.3846250317477936e-05
2021-01-11,2.383840088192889e-05
2021-01-12,0.0007908639770898432
2021-01-13,-9.648921415411906e-06
2021-01-14,0.0005588980921459818
2021-01-15,0.00022389592969364634
2021-01-16,0.00022616001586886524
2021-01-17,0.00023010496418588507
2021-01-18,0.00022992324315717787
2021-01-19,0.001700283324153657
2021-01-20,0.0008661867930662307
2021-01-21,-3.960872678047235e-06
2021-01-22,-0.001002834827900657
2021-01-23,0.00038580631411715285
2021-01-24,0.0005115392215871598
2021-01-25,0.0005157155959570304
2021-01-26,-0.0014289374972465223
2021-01-27,-0.0003218243657376525
2021-01-28,-0.0017269598301675405
2021-01-29,-0.0008029751929972623
2021-01-30,0.0003854053623016905
2021-01-31,0.000480167586105276
2021-02-01,0.00048211849115480673
2021-02-02,0.0008173861574891067
2021-02-03,0.00020693875962408644
2021-02-04,-0.00040289492407199074
2021-02-05,0.0003314115815760494
2021-02-06,5.991533415225631e-05
2021-02-07,2.4100185926128978e-05
2021-02-08,2.409240395251769e-05
2021-02-09,0.0003343282401159826
2021-02-10,0.0012070091378340998
2021-02-11,0.0004021921136766627
2021-02-12,0.00027062817350631595
2021-02-13,0.0002662714029776991
2021-02-14,0.0002661772522446958
2021-02-15,0.0002660842981303573
2021-02-16,0.000265992363886336
2021-02-17,0.0007354141022131927
2021-02-18,-0.0009516242545778632
2021-02-19,-2.466545433918022e-06
2021-02-20,-0.00021956064775254365
2021-02-21,-0.0002552108883404008
2021-02-22,-0.0002568898166245779
2021-02-23,0.0006343447808218335
2021-02-24,-0.0019450784152357905
2021-02-25,0.000579754338301196
2021-02-26,-0.002953008867621233
2021-02-27,9.8332173146786e-05
2021-02-28,0.00046560436520434436
2021-03-01,0.00046553334100215345
2021-03-02,-0.0009044623382733353
2021-03-03,0.001963771833351096
2021-03-04,-0.0015517375783655849
2021-03-05,-0.0005685344265666391
2021-03-06,-0.0005627405084221497
2021-03-07,-0.00038549258103696786
2021-03-08,-0.00038742394414781865
2021-03-09,0.0005752657307131273
2021-03-10,0.0002954551551568162
2021-03-11,0.0010289729984473308
2021-03-12,-0.0015513308229300384
2021-03-13,8.596856110228502e-05
2021-03-14,0.0001666799237031126
2021-03-15,5.647202728625655e-05
2021-03-16,0.0004235714404068156
2021-03-17,-1.173760106512523e-05
2021-03-18,0.0008094268034892622
2021-03-19,-0.0009902931960825893
2021-03-20,-8.381413817298276e-05
2021-03-21,-1.0635380361479101e-05
2021-03-22,-7.457608728002579e-05
2021-03-23,-0.000895798680909973
2021-03-24,-0.0013240129900291405
2021-03-25,8.800795720564042e-05
2021-03-26,0.001184471012836607
2021-03-27,0.0001260322153572316
2021-03-28,1.8718932004571531e-06
2021-03-29,1.8718559333854645e-06
2021-03-30,0.0006448655110909404
2021-03-31,-0.0004723901117832051
2021-04-01,0.0014654239400355433
2021-04-02,3.991048862169122e-05
2021-04-03,-0.00013155920392305155
2021-04-04,-0.0001318115628794703
2021-04-05,-0.0001320644976016114
2021-04-06,-0.00013231839830285438
2021-04-07,-0.000132573188297737
2021-04-08,0.0008833042667929699
2021-04-09,-0.0007463473857394916
2021-04-10,-0.0003089165374379965
2021-04-11,-0.0002465730212020498
2021-04-12,-0.0002476161246184663
2021-04-13,9.702404233794633e-05
2021-04-14,0.0010930133617706077
2021-04-15,-0.00017732549243837302
2021-04-16,0.00034925187867190034
2021-04-17,0.00010197244547847448
2021-04-18,7.319880397831564e-05
2021-04-19,9.038355375189946e-05
2021-04-20,5.6126037659544073e-05
2021-04-21,-0.0011622592949874033
2021-04-22,0.0003518217053810101
2021-04-23,0.0008715203094460885
