,收益率
2020-11-17,0.07689286199806938
2020-11-18,0.0824642280045407
2020-11-19,0.09845426124030705
2020-11-20,0.10381060745801376
2020-11-21,-1.199201333613775
2020-11-22,0.7810123841328513
2020-11-23,0.6241974923585605
2020-11-24,0.6175040199068857
2020-11-25,0.6400420035473608
2020-11-26,0.6747706594112979
2020-11-27,0.6955940833722182
2020-11-28,0.7525969529472427
2020-11-29,0.6974363848364867
2020-11-30,0.5533982281984826
2020-12-01,0.43501871014940313
2020-12-02,0.3409746855660243
2020-12-03,0.2571063667031008
2020-12-04,0.18604482647987575
2020-12-05,0.12145755473760522
2020-12-06,0.06669953992512255
2020-12-07,0.02898744636511523
2020-12-08,0.009349827993713934
2020-12-09,0.00023859458413822546
2020-12-10,-0.01865774051272413
2020-12-11,-0.016173937407815517
2020-12-12,-0.013684672909698466
2020-12-13,-0.007065306058448852
2020-12-14,-0.020353994227769675
2020-12-15,-0.015711423997622997
2020-12-16,-0.011633812027882093
2020-12-17,-0.006676422216690971
2020-12-18,-0.00899970364555376
2020-12-19,-0.00746802789001261
2020-12-20,-0.004541449184339986
2020-12-21,0.00011177861596018639
2020-12-22,-0.01400969845204924
2020-12-23,-0.0027588995340644567
2020-12-24,-0.0036410300750193366
2020-12-25,-0.003032315419011456
2020-12-26,-0.002413207832876763
2020-12-27,-0.0022903580449235537
2020-12-28,0.005454949199517928
2020-12-29,0.005019973536114792
2020-12-30,0.01747657721997954
2020-12-31,0.028183452126705283
2021-01-01,0.03232485449501516
2021-01-02,0.03743605076641734
2021-01-03,0.041813173574134783
2021-01-04,0.051676708049348374
2021-01-05,0.04949380577854336
2021-01-06,0.04929205651166522
2021-01-07,0.04461815774409148
2021-01-08,0.05796681700414781
2021-01-09,0.058905917590367306
2021-01-10,0.060163285636201096
2021-01-11,0.050648081682332584
2021-01-12,0.04152588667292299
2021-01-13,0.03688278141220722
2021-01-14,0.044975507941686414
2021-01-15,0.04467727447172136
2021-01-16,0.04587824496786899
2021-01-17,0.04708331385839714
2021-01-18,0.04371822182375841
2021-01-19,0.07040794844026707
2021-01-20,0.08768304312497648
2021-01-21,0.07350912974071569
2021-01-22,0.05591783814643733
2021-01-23,0.06403540746082527
2021-01-24,0.07192393605750509
2021-01-25,0.06655781036762576
2021-01-26,0.040924322335567295
2021-01-27,0.028093451932649505
2021-01-28,-0.0007005228184354216
2021-01-29,-0.012983294869608853
2021-01-30,-0.009722190563195064
2021-01-31,-0.003958825139212468
2021-02-01,-0.023990607104708128
2021-02-02,-0.02126613410365366
2021-02-03,-0.019515784993560846
2021-02-04,-0.011025618132753446
2021-02-05,-0.013129551069313319
2021-02-06,-0.020320480462923677
2021-02-07,-0.028173968316686216
2021-02-08,-0.002642440622150711
2021-02-09,0.005250449024488921
2021-02-10,0.050329021463440246
2021-02-11,0.06631524469185138
2021-02-12,0.06301385612449827
2021-02-13,0.059699332801013465
2021-02-14,0.05621951742634574
2021-02-15,0.04728944458290632
2021-02-16,0.04896829461988649
2021-02-17,0.06770633946645002
2021-02-18,0.044604610078273176
2021-02-19,0.04589004574429554
2021-02-20,0.041865722236864085
2021-02-21,0.03777298259168699
2021-02-22,0.028617001180509173
2021-02-23,0.01976904335980831
2021-02-24,-0.015088236284527908
2021-02-25,-0.005018626090937878
2021-02-26,-0.0467849914412195
2021-02-27,-0.04520582444667178
2021-02-28,-0.043423190361914374
