,收益率
2020-11-17,0.02172725389971188
2020-11-18,0.024367668428005973
2020-11-19,0.021229353036828928
2020-11-20,0.020869737232843005
2020-11-21,0.022200763492452553
2020-11-22,0.02026545386371479
2020-11-23,0.018303489659456013
2020-11-24,0.02197406552292255
2020-11-25,0.025101439888739308
2020-11-26,0.025039450871835647
2020-11-27,0.02288791635358602
2020-11-28,0.02086946817424592
2020-11-29,0.016730621885964192
2020-11-30,0.009952284628098957
2020-12-01,0.015794963415171084
2020-12-02,0.017220540214158336
2020-12-03,0.01851538654822915
2020-12-04,0.01896248699949094
2020-12-05,0.016433770160599624
2020-12-06,0.014009908384111492
2020-12-07,0.009029013307133661
2020-12-08,0.007097939828436605
2020-12-09,0.012455483969240557
2020-12-10,0.009245644778220081
2020-12-11,0.009736217354064235
2020-12-12,0.008903373510177517
2020-12-13,0.007843705163670315
2020-12-14,0.004022881040795496
2020-12-15,0.0033946710642262855
2020-12-16,0.009668115079839695
2020-12-17,0.011840611638074424
2020-12-18,0.007964682867160741
2020-12-19,0.006951754143828975
2020-12-20,0.0056403130790484745
2020-12-21,0.002682673255201576
2020-12-22,-0.0009392531695566215
2020-12-23,0.0057020385117961285
2020-12-24,0.005417135747791454
2020-12-25,0.004079570460750595
2020-12-26,0.003736341723463415
2020-12-27,0.003222309152747063
2020-12-28,0.00020668432174915935
2020-12-29,0.006731497430420136
2020-12-30,0.018982588782319502
2020-12-31,0.017922641936850597
2021-01-01,0.017524456823384882
2021-01-02,0.017130380728465476
2021-01-03,0.019455727487821442
2021-01-04,0.017065096692041273
2021-01-05,0.020589172807188662
2021-01-06,0.023886246703106427
2021-01-07,0.01962272797707794
2021-01-08,0.022052911215377613
2021-01-09,0.02273677258212622
2021-01-10,0.022233662249879053
2021-01-11,0.018864145117426255
2021-01-12,0.025352562714543076
2021-01-13,0.027219348769073493
2021-01-14,0.02883279326918726
2021-01-15,0.028773479060065815
2021-01-16,0.029164165691975316
2021-01-17,0.029505262821251363
2021-01-18,0.027321177077909976
2021-01-19,0.03718521673077208
2021-01-20,0.04294877617720812
2021-01-21,0.04234106466438328
2021-01-22,0.0338542107602044
2021-01-23,0.03364799887021089
2021-01-24,0.03799310223928835
2021-01-25,0.03492712446602839
2021-01-26,0.025908448334190114
2021-01-27,0.026171720000301043
2021-01-28,0.012508197513925954
2021-01-29,0.007000280519152491
2021-01-30,0.00899585404960415
2021-01-31,0.012118921271571157
2021-02-01,0.012596783483666819
2021-02-02,0.018978632360765513
2021-02-03,0.022844256973032523
2021-02-04,0.017858353617598518
2021-02-05,0.018410182899546483
2021-02-06,0.018280407315039472
2021-02-07,0.017788004608410176
2021-02-08,0.014844633836748515
2021-02-09,0.018424273880614326
2021-02-10,0.02832124492457672
2021-02-11,0.029243967761724613
2021-02-12,0.028940806095521104
2021-02-13,0.02932860709023986
2021-02-14,0.03039878632416614
2021-02-15,0.02848572186669062
2021-02-16,0.029298261383313307
2021-02-17,0.037562286174387914
2021-02-18,0.027955575958124302
2021-02-19,0.026308687346357076
2021-02-20,0.02387580248174202
2021-02-21,0.021235474353770826
2021-02-22,0.01637569376468301
2021-02-23,0.021414326453874394
2021-02-24,0.010765987517191248
2021-02-25,0.014176061185811236
2021-02-26,-0.005094686203772654
2021-02-27,-0.0004497830340252318
2021-02-28,-0.0003197157707696683
2021-03-01,-0.0002383910610027983
2021-03-02,-0.0014442375620264878
2021-03-03,0.011213682254741971
2021-03-04,0.0005264111896296276
2021-03-05,-0.003605080116933854
2021-03-06,-0.006911342728579881
2021-03-07,-0.009893914044131823
2021-03-08,-0.011725793688011516
2021-03-09,-0.006973772633994106
2021-03-10,-0.0007520006871878617
2021-03-11,0.003973260147613665
2021-03-12,-0.008090615696647208
2021-03-13,-0.00749802363472002
2021-03-14,-0.006730269923884629
2021-03-15,-0.008233818460564694
2021-03-16,-0.002089557394446551
2021-03-17,0.0016979237505043733
2021-03-18,0.006086188088572299
2021-03-19,-0.0008677268061222043
2021-03-20,-0.0033261733654737203
2021-03-21,-0.002667265166436537
2021-03-22,-0.005392104785626293
2021-03-23,-0.009827664420034916
2021-03-24,-0.01861146422400011
2021-03-25,-0.018211074851141738
2021-03-26,-0.012780825913801544
2021-03-27,-0.011364722960811691
2021-03-28,-0.010933440702587276
2021-03-29,-0.011234339127323155
2021-03-30,-0.006072718064466671
2021-03-31,-0.006952668221136773
2021-04-01,0.0025620298508145325
2021-04-02,-0.0001991338655357371
2021-04-03,-0.0003597263477871379
2021-04-04,-0.0009532418909333863
2021-04-05,-0.004391449359676064
2021-04-06,-0.002081423987445723
2021-04-07,-0.0004913223511512541
2021-04-08,0.0038492021541187372
2021-04-09,-0.0030018929934003485
2021-04-10,-0.002979504129343168
2021-04-11,-0.005368584326658318
2021-04-12,-0.009018981874769218
2021-04-13,-0.005902437767149015
2021-04-14,0.002462565061846341
2021-04-15,0.0020497627457866934
2021-04-16,0.0017709036725901419
2021-04-17,0.0031752906671525176
2021-04-18,0.003983120438156124
2021-04-19,0.002173582032870029
2021-04-20,0.003440676300175171
2021-04-21,-0.001198839543532446
2021-04-22,0.0006428112023863234
2021-04-23,0.0033640860096706107
2021-04-24,0.0030177677559092534
2021-04-25,0.0021777335695074775
2021-04-26,-0.000620124252389365
2021-04-27,0.0007890184400772317
2021-04-28,0.004238616872102495
2021-04-29,0.007511702378190972
2021-04-30,-0.002510076608622692
2021-05-01,-0.004801768567149838
2021-05-02,-0.00525400864726523
2021-05-03,-0.010942785828686285
2021-05-04,-0.005721295226717765
